,link,pub_titles,predicted category
0,https://www.researchgate.net/profile/Anders-Goksoyr,"Transcriptome responses in copepods Calanus finmarchicus, Calanus glacialis and Calanus hyperboreus exposed to phenanthrene and benzo[a]pyrene",biology
1,https://www.researchgate.net/profile/Anders-Goksoyr,Intestinal permeability and gene expression after polyethylene and polyamide microplastic ingestion in Wistar rats,biology
2,https://www.researchgate.net/profile/Anders-Goksoyr,Agonistic and potentiating effects of perfluoroalkyl substances (PFAS) on the Atlantic cod (Gadus morhua) peroxisome proliferator-activated receptors (Ppars),biology
3,https://www.researchgate.net/profile/Anders-Goksoyr,Xenobiotic metabolism and its physiological consequences in high-Antarctic Notothenioid fishes,biology
4,https://www.researchgate.net/profile/Anders-Goksoyr,Hunnsnegl med penis og hannfisk med egg,biology
5,https://www.researchgate.net/profile/Anders-Goksoyr,Single PFAS and PFAS mixtures affect nuclear receptor- and oxidative stress-related pathways in precision-cut liver slices of Atlantic cod (Gadus morhua),biology
6,https://www.researchgate.net/profile/Anders-Goksoyr,Substituted Two- to Five-Ring Polycyclic Aromatic Compounds Are Potent Agonists of Atlantic Cod ( Gadus morhua ) Aryl Hydrocarbon Receptors Ahr1a and Ahr2a,biology
7,https://www.researchgate.net/profile/Anders-Goksoyr,Photo-enhanced toxicity of crude oil on early developmental stages of Atlantic cod (Gadus morhua),biology
8,https://www.researchgate.net/profile/Anders-Goksoyr,Development of a battery of Atlantic cod receptor-based reporter bioassays for assessing environmental toxicity of sediments and chemicals,biology
9,https://www.researchgate.net/profile/Anders-Goksoyr,A binary mixture of PFOS and PFOA elicits a potentiating effect on the peroxisome proliferator-activated receptor alpha 1 (Ppara1) from Atlantic cod (Gadus morhua),biology
10,https://www.researchgate.net/profile/Anders-Goksoyr,Concentrations and endocrine disruptive potential of phthalates in marine mammals from the Norwegian Arctic,biology
11,https://www.researchgate.net/profile/Anders-Goksoyr,Toxicity assessment of urban marine sediments from Western Norway using a battery of stress-activated receptors and cell-based bioassays from fish,biology
12,https://www.researchgate.net/profile/Anders-Goksoyr,Polycyclic aromatic hydrocarbons modulate the activity of Atlantic cod (Gadus morhua) vitamin D receptor paralogs in vitro,biology
13,https://www.researchgate.net/profile/Anders-Goksoyr,Hvordan påvirker miljøgifter sjøpattedyrene i Arktis?,physics
14,https://www.researchgate.net/profile/Anders-Goksoyr,The chemical defensome of five model teleost fish,biology
15,https://www.researchgate.net/profile/Anders-Goksoyr,Transcriptome responses in polar cod (Boreogadus saida) liver slice culture exposed to benzo[a]pyrene and ethynylestradiol: Insights into anti-estrogenic effects,biology
16,https://www.researchgate.net/profile/Anders-Goksoyr,Blue whale (Balaenoptera musculus musculus) genome: population structure and history in the North Atlantic,biology
17,https://www.researchgate.net/profile/Anders-Goksoyr,Machine Learning Approaches for Biomarker Discovery Using Gene Expression Data,biology
18,https://www.researchgate.net/profile/Anders-Goksoyr,The Chemical Defensome of Fish: Conservation and Divergence of Genes Involved in Sensing and Responding to Pollutants Among Five Model Teleosts,biology
19,https://www.researchgate.net/profile/Anders-Goksoyr,Environmental effects of offshore produced water discharges: A review focused on the Norwegian continental shelf,biology
20,https://www.researchgate.net/profile/Anders-Goksoyr,ReCodLiver0.9: Overcoming Challenges in Genome-Scale Metabolic Reconstruction of a Non-model Species,biology
21,https://www.researchgate.net/profile/Anders-Goksoyr,Application of quantitative transcriptomics in evaluating the ex vivo effects of per- and polyfluoroalkyl substances on Atlantic cod (Gadus morhua) ovarian physiology,biology
22,https://www.researchgate.net/profile/Anders-Goksoyr,Attuning to a changing ocean,biology
23,https://www.researchgate.net/profile/Anders-Goksoyr,Proteomics and lipidomics analyses reveal modulation of lipid metabolism by perfluoroalkyl substances in liver of Atlantic cod (Gadus morhua),biology
24,https://www.researchgate.net/profile/Anders-Goksoyr,Expression and localization of the aryl hydrocarbon receptors and cytochrome P450 1A during early development of Atlantic cod (Gadus morhua),biology
25,https://www.researchgate.net/profile/Anders-Goksoyr,"Quantitative transcriptomics, and lipidomics in evaluating ovarian developmental effects in Atlantic cod (Gadus morhua) caged at a capped marine waste disposal site",biology
26,https://www.researchgate.net/profile/Anders-Goksoyr,ReCodLiver0.9: Overcoming challenges in genome-scale metabolic reconstruction of a non-model species,biology
27,https://www.researchgate.net/profile/Anders-Goksoyr,Environmental Pollutants Modulate Transcriptional Activity of Nuclear Receptors of Whales In Vitro,biology
28,https://www.researchgate.net/profile/Anders-Goksoyr,Molecular and Functional Properties of the Atlantic Cod (Gadus morhua) Aryl Hydrocarbon Receptors Ahr1a and Ahr2a,biology
29,https://www.researchgate.net/profile/Anders-Goksoyr,Effects of Agricultural Pesticides in Aquafeeds on Wild Fish Feeding on Leftover Pellets Near Fish Farms,biology
30,https://www.researchgate.net/profile/Anders-Goksoyr,Modulation of Neuro-Dopamine Homeostasis in Juvenile Female Atlantic Cod ( Gadus morhua) Exposed to Polycyclic Aromatic Hydrocarbons and Perfluoroalkyl Substances,biology
31,https://www.researchgate.net/profile/Anders-Goksoyr,Environmental contaminants modulate the transcriptional activity of polar bear (Ursus maritimus) and human peroxisome proliferator-activated receptor alpha (PPARA),biology
32,https://www.researchgate.net/profile/Anders-Goksoyr,Supplementary Material,physics
33,https://www.researchgate.net/profile/Anders-Goksoyr,In vitro modulation of transcriptional activity of nuclear receptors of whales by environmental pollutants. Presented at the SETAC Europe 29th annual meeting in May 2019.,biology
34,https://www.researchgate.net/profile/Anders-Goksoyr,"Contaminant accumulation and biological responses in Atlantic cod (Gadus morhua) caged at a capped waste disposal site in Kollevåg, Western Norway",biology
35,https://www.researchgate.net/profile/Anders-Goksoyr,Effects of defined mixtures of POPs and endocrine disruptors on the steroid metabolome of the human H295R adrenocortical cell line,biology
36,https://www.researchgate.net/profile/Anders-Goksoyr,Sequence Variations in pxr (nr1i2) From Zebrafish (Danio rerio) Strains Affect Nuclear Receptor Function,biology
37,https://www.researchgate.net/profile/Anders-Goksoyr,Effects of a complex mixture of persistent organic pollutants (POPs) on steroidogenesis in H295R cells under 10 μM forskolin stimulation - results from a pilot study,biology
38,https://www.researchgate.net/profile/Anders-Goksoyr,Independent losses of a xenobiotic receptor across teleost evolution,biology
39,https://www.researchgate.net/profile/Anders-Goksoyr,Supplementary Material,physics
40,https://www.researchgate.net/profile/Anders-Goksoyr,LC-MS/MS based profiling and dynamic modelling of the steroidogenesis pathway in adrenocarcinoma H295R cells,biology
41,https://www.researchgate.net/profile/Anders-Goksoyr,RNA-Seq analysis of transcriptome responses in Atlantic cod ( Gadus morhua ) precision-cut liver slices exposed to benzo[ a ]pyrene and 17α-ethynylestradiol,biology
42,https://www.researchgate.net/profile/Anders-Goksoyr,Multiple-stressor effects in an apex predator: Combined influence of pollutants and sea ice decline on lipid metabolism in polar bears,biology
